metric_id,timestamp,active_users,page_views,listings_viewed,bids_placed,matches_made,avg_session_duration_sec,platform_section,device_type
M0356,2025-09-10 15:51:29,793,645,750,7,9,444,marketplace,desktop
M0357,2025-11-17 15:34:29,1377,4425,404,120,26,168,marketplace,desktop
M0358,2026-04-09 16:58:21,2450,4074,524,65,24,561,compliance,tablet
M0359,2025-07-29 03:53:00,298,5415,495,70,13,112,compliance,desktop
M0360,2026-05-08 02:03:56,1007,14718,39,34,17,645,marketplace,desktop
M0361,2026-03-07 20:29:46,564,5190,601,52,14,130,portfolio,mobile
M0362,2025-04-21 13:54:49,1579,9054,192,100,7,595,compliance,tablet
M0363,2026-03-08 04:47:16,1900,884,21,104,14,894,discovery,mobile
M0364,2025-05-11 00:13:14,52,1185,513,34,19,301,compliance,tablet
M0365,2026-05-07 01:11:29,921,9787,542,36,1,210,marketplace,desktop
M0366,2025-11-04 01:01:02,553,13806,163,92,17,331,compliance,desktop
M0367,2026-01-28 02:31:53,1353,14682,718,43,20,312,compliance,desktop
M0368,2026-05-30 09:44:18,1367,5797,235,58,30,658,discovery,desktop
M0369,2026-06-22 08:55:36,597,10791,22,77,15,49,marketplace,mobile
M0370,2025-11-17 21:55:01,2326,14868,733,90,15,825,compliance,desktop
M0371,2026-05-20 04:03:00,367,9025,51,114,26,880,compliance,mobile
M0372,2025-10-02 04:17:55,1591,13757,635,45,12,226,marketplace,desktop
M0373,2025-10-15 18:15:34,840,7483,29,28,23,65,discovery,mobile
M0374,2025-10-05 22:16:02,834,1674,648,80,9,872,portfolio,desktop
M0375,2026-01-19 13:15:38,1536,802,307,63,28,765,portfolio,desktop
M0376,2026-05-11 21:18:41,1672,2017,304,72,16,550,portfolio,desktop
M0377,2026-05-28 12:16:46,2367,11212,718,77,18,224,marketplace,desktop
M0378,2025-02-20 12:36:26,571,4453,603,109,7,580,discovery,desktop
M0379,2026-06-11 14:26:21,144,11553,714,68,19,303,compliance,desktop
M0380,2025-11-28 17:59:27,262,14189,350,55,27,461,discovery,desktop
M0381,2026-02-07 13:43:26,1961,8319,390,66,24,89,portfolio,desktop
M0382,2025-11-23 06:31:28,2230,7554,343,0,12,244,discovery,desktop
M0383,2026-03-21 03:29:24,153,12282,251,88,13,121,portfolio,desktop
M0384,2025-09-13 17:11:31,1323,1229,661,80,3,73,compliance,desktop
M0385,2025-01-19 15:49:51,2477,13261,661,119,10,301,portfolio,desktop
M0386,2025-07-05 03:20:15,1445,13839,75,105,10,577,portfolio,tablet
M0387,2026-04-12 00:09:09,1846,12718,117,80,14,637,marketplace,desktop
M0388,2025-02-17 03:17:11,186,6383,340,113,27,755,marketplace,mobile
M0389,2025-02-18 03:48:19,1860,1097,328,78,20,487,marketplace,desktop
M0390,2025-02-13 08:00:00,2340,1055,321,108,12,456,marketplace,mobile
M0391,2025-11-16 07:36:31,1004,14365,633,100,21,683,marketplace,desktop
M0392,2025-12-27 13:29:04,1803,14616,655,79,3,392,marketplace,desktop
M0393,2025-09-12 21:58:24,2457,3353,130,13,0,654,marketplace,desktop
M0394,2025-05-31 09:14:11,2397,2264,672,65,8,408,compliance,desktop
M0395,2026-04-28 05:29:57,1871,3246,268,17,25,90,marketplace,desktop
M0396,2026-03-31 00:17:07,1835,8607,687,96,11,363,portfolio,desktop
M0397,2025-08-28 18:06:29,1454,4968,397,1,16,645,portfolio,desktop
M0398,2026-01-29 21:10:32,2341,14268,75,54,11,245,portfolio,mobile
M0399,2025-06-06 07:46:52,330,5795,213,85,15,756,compliance,desktop
M0400,2025-09-15 04:59:53,2419,9474,363,78,9,473,discovery,desktop
