trade_id,listing_id,buyer_id,company_id,shares_traded,execution_price_per_share,total_value_usd,trade_date,settlement_date,trade_type,commission_pct,compliance_status
T0261,L0182,B021,C009,14915,364.17,5431595.55,2026-06-18,2026-06-20,negotiated,2.06,cleared
T0262,L0104,B006,C006,14996,337.09,5055001.64,2025-12-06,2025-12-10,matched,2.53,under_review
T0263,L0159,B034,C008,37287,315.12,11749879.44,2025-01-10,2025-01-12,negotiated,2.71,cleared
T0264,L0165,B040,C015,41206,101.73,4191886.38,2025-02-10,2025-02-14,matched,4.71,under_review
T0265,L0099,B017,C009,47946,116.08,5565571.68,2026-06-14,2026-06-18,negotiated,4.31,cleared
T0266,L0012,B019,C015,43198,82.84,3578522.32,2026-06-11,2026-06-13,direct,2.09,under_review
T0267,L0138,B035,C001,41586,36.09,1500838.74,2025-08-07,2025-08-12,direct,2.22,pending_settlement
T0268,L0190,B050,C007,42873,312.57,13400813.61,2025-03-15,2025-03-18,direct,3.11,cleared
T0269,L0023,B005,C001,12164,304.27,3701140.28,2025-03-14,2025-03-17,matched,2.93,cleared
T0270,L0104,B028,C006,1606,155.34,249476.04,2025-05-02,2025-05-04,negotiated,4.02,cleared
T0271,L0191,B038,C001,46433,324.16,15051721.28,2026-01-02,2026-01-04,matched,4.25,cleared
T0272,L0023,B019,C013,29183,152.36,4446321.88,2025-02-01,2025-02-06,direct,3.37,cleared
T0273,L0101,B035,C005,42052,65.02,2734221.04,2026-01-18,2026-01-20,negotiated,4.56,cleared
T0274,L0011,B001,C010,39602,157.02,6218306.04,2025-03-29,2025-04-02,direct,4.12,under_review
T0275,L0089,B014,C007,42831,325.34,13934637.54,2025-05-26,2025-05-29,direct,2.27,pending_settlement
T0276,L0050,B008,C003,44473,306.27,13620745.71,2025-02-25,2025-03-02,negotiated,3.42,cleared
T0277,L0018,B017,C002,13437,279.02,3749191.74,2026-05-14,2026-05-18,matched,1.95,cleared
T0278,L0026,B019,C010,5074,343.24,1741599.76,2025-11-22,2025-11-27,matched,2.65,cleared
T0279,L0178,B038,C003,37564,220.61,8286994.04,2025-11-20,2025-11-25,direct,1.52,cleared
T0280,L0057,B046,C012,42497,172.49,7330307.53,2026-01-04,2026-01-07,negotiated,4.07,pending_settlement
T0281,L0119,B029,C006,20519,191.21,3923437.99,2025-04-22,2025-04-25,negotiated,3.62,pending_settlement
T0282,L0036,B035,C004,17751,281.94,5004716.94,2025-03-20,2025-03-22,direct,4.47,cleared
T0283,L0149,B038,C007,39168,90.3,3536870.4,2025-02-07,2025-02-11,negotiated,4.63,cleared
T0284,L0168,B050,C003,24474,156.44,3828712.56,2025-10-25,2025-10-28,matched,3.25,cleared
T0285,L0094,B033,C001,43929,99.91,4388946.39,2025-06-19,2025-06-22,matched,2.06,cleared
T0286,L0145,B043,C014,10081,282.82,2851108.42,2026-05-11,2026-05-15,direct,2.27,cleared
T0287,L0017,B017,C006,15836,27.75,439449.0,2025-07-31,2025-08-04,matched,3.14,cleared
T0288,L0012,B003,C011,21738,49.99,1086682.62,2026-06-18,2026-06-22,negotiated,2.42,cleared
T0289,L0045,B025,C011,25306,146.43,3705557.58,2025-03-21,2025-03-25,matched,4.9,cleared
T0290,L0104,B023,C014,23112,191.17,4418321.04,2026-05-09,2026-05-11,negotiated,4.59,cleared
T0291,L0059,B005,C009,42670,115.34,4921557.8,2025-06-03,2025-06-06,direct,2.77,pending_settlement
T0292,L0031,B043,C004,27672,310.51,8592432.72,2025-04-27,2025-05-02,negotiated,3.18,cleared
T0293,L0042,B042,C014,27428,20.26,555691.28,2025-02-14,2025-02-17,negotiated,3.57,cleared
T0294,L0132,B003,C015,38004,66.05,2510164.2,2025-06-20,2025-06-24,direct,3.31,cleared
T0295,L0145,B041,C001,47656,279.89,13338437.84,2025-10-18,2025-10-20,direct,3.07,under_review
T0296,L0124,B011,C004,27420,233.11,6391876.2,2025-07-06,2025-07-10,direct,4.03,cleared
T0297,L0117,B039,C010,5011,96.57,483912.27,2026-01-30,2026-02-02,direct,1.56,cleared
T0298,L0130,B044,C007,10301,234.83,2418983.83,2025-07-01,2025-07-06,negotiated,3.6,pending_settlement
T0299,L0137,B033,C013,8201,46.29,379624.29,2025-05-14,2025-05-16,negotiated,3.77,cleared
T0300,L0095,B003,C012,35222,169.86,5982808.92,2026-05-09,2026-05-14,matched,3.56,pending_settlement
